,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
596,Adult,No,Travel_Frequently,Medium,Research & Development,Very High,4,Life Sciences,3,Male,Very High,4,1.0,Laboratory Technician,4,Married,Low,4,No,18.0,3.0,4.0,2,Low,2,3,Low,0,0.0,0.0
597,Adult,Yes,Travel_Rarely,High,Research & Development,Very High,4,Life Sciences,3,Female,Low,4,1.0,Laboratory Technician,1,Single,Low,1,No,16.0,3.0,3.0,0,Very High,1,3,Very High,13,15.0,14.0
598,Adult,No,Travel_Frequently,High,Research & Development,High,3,Medical,2,Male,Medium,3,1.0,Research Scientist,4,Married,Medium,1,Yes,12.0,3.0,3.0,3,Low,3,2,Medium,2,1.0,2.0
599,Adult,No,Travel_Rarely,Low,Research & Development,Very High,3,Life Sciences,4,Male,Medium,1,1.0,Laboratory Technician,3,Single,High,0,No,15.0,3.0,3.0,0,Low,2,3,Medium,4,4.0,3.0
600,Elderly,No,Travel_Rarely,Very High,Sales,Low,4,Life Sciences,2,Female,Medium,4,4.0,Manager,2,Divorced,Very High,6,No,14.0,3.0,3.0,3,Very High,2,3,Low,2,1.0,2.0
601,Adult,No,Travel_Rarely,Very High,Sales,Medium,1,Medical,4,Female,Low,3,2.0,Sales Executive,3,Married,High,1,Yes,12.0,3.0,3.0,2,Low,3,3,Medium,4,0.0,3.0
602,Adult,No,Travel_Frequently,Very High,Human Resources,Low,1,Human Resources,2,Male,Very High,2,2.0,Human Resources,4,Single,Low,1,No,21.0,4.0,4.0,0,Medium,2,2,Very High,1,0.0,8.0
603,Adult,No,Travel_Rarely,Low,Research & Development,High,2,Life Sciences,2,Female,High,4,3.0,Research Director,1,Married,High,0,Yes,12.0,3.0,3.0,3,Medium,4,2,High,7,1.0,7.0
604,Adult,No,Non-Travel,Very High,Sales,Very High,4,Life Sciences,1,Female,Low,1,2.0,Sales Executive,3,Married,Low,6,No,19.0,3.0,3.0,1,Medium,1,3,Low,2,1.0,2.0
605,Adult,No,Travel_Frequently,Low,Research & Development,Low,3,Life Sciences,4,Male,High,4,2.0,Healthcare Representative,3,Single,Very High,8,Yes,12.0,3.0,4.0,0,Medium,5,4,Low,2,0.0,2.0
606,Adult,No,Travel_Rarely,Very High,Research & Development,High,3,Medical,1,Female,Very High,3,1.0,Laboratory Technician,3,Single,High,4,No,18.0,3.0,1.0,0,Medium,6,3,Low,2,0.0,2.0
607,Adult,No,Travel_Rarely,Medium,Research & Development,Low,2,Life Sciences,3,Female,Very High,3,1.0,Laboratory Technician,1,Married,Very High,4,No,17.0,3.0,4.0,1,Medium,5,2,Medium,3,0.0,2.0
608,Elderly,Yes,Travel_Rarely,Low,Sales,High,3,Marketing,1,Male,Medium,3,3.0,Sales Executive,4,Divorced,High,4,No,11.0,3.0,1.0,1,Very High,1,4,High,7,4.0,3.0
609,Adult,Yes,Travel_Rarely,Medium,Sales,Medium,2,Life Sciences,1,Female,High,3,2.0,Sales Executive,3,Single,Very High,9,No,14.0,3.0,1.0,0,Low,3,3,Low,2,2.0,0.0
610,Adult,No,Travel_Rarely,Low,Research & Development,Low,4,Technical Degree,4,Female,High,2,2.0,Healthcare Representative,3,Single,Very High,1,No,11.0,3.0,1.0,0,Very High,4,3,Very High,7,11.0,10.0
611,Adult,No,Travel_Rarely,Low,Sales,Medium,4,Life Sciences,2,Male,Low,2,1.0,Sales Representative,3,Married,Medium,3,No,15.0,3.0,2.0,0,High,2,4,High,7,5.0,2.0
612,Adult,Yes,Travel_Frequently,High,Research & Development,Low,3,Medical,1,Male,Low,2,1.0,Laboratory Technician,2,Divorced,Low,1,No,15.0,3.0,1.0,2,Low,2,3,Low,0,0.0,0.0
613,Adult,No,Travel_Rarely,High,Research & Development,Very High,2,Life Sciences,1,Female,Very High,2,3.0,Research Director,2,Married,Very High,3,No,17.0,3.0,3.0,1,Very High,2,3,Very High,8,0.0,1.0
614,Senior Citizen,No,Non-Travel,Low,Sales,Low,3,Medical,2,Male,Medium,3,4.0,Manager,2,Divorced,Very High,4,No,22.0,4.0,4.0,1,Very High,0,2,Very High,9,14.0,14.0
615,Adult,No,Travel_Rarely,Medium,Sales,Very High,5,Marketing,3,Male,Very High,3,2.0,Sales Executive,4,Divorced,Very High,7,No,23.0,4.0,4.0,1,Medium,2,2,High,7,7.0,7.0
616,Young Adult,Yes,Travel_Frequently,Low,Research & Development,High,2,Life Sciences,1,Female,Low,2,1.0,Laboratory Technician,3,Single,Very High,1,No,20.0,4.0,3.0,0,Low,2,1,Low,2,2.0,2.0
617,Adult,No,Travel_Rarely,Very High,Sales,Medium,3,Medical,2,Female,High,3,1.0,Sales Representative,2,Married,Low,1,No,19.0,3.0,4.0,1,Low,3,3,Low,0,0.0,0.0
618,Senior Citizen,No,Travel_Rarely,Medium,Sales,Very High,3,Life Sciences,4,Female,High,3,4.0,Manager,4,Married,Medium,4,Yes,13.0,3.0,3.0,1,Very High,2,2,Low,0,0.0,0.0
619,Adult,No,Travel_Rarely,Very High,Research & Development,Medium,2,Life Sciences,3,Male,High,2,1.0,Laboratory Technician,4,Married,Low,1,No,18.0,3.0,4.0,1,Low,5,2,Low,0,0.0,1.0
620,Adult,No,Travel_Rarely,Very High,Research & Development,High,4,Medical,2,Male,Medium,3,2.0,Research Scientist,3,Single,High,1,No,19.0,3.0,2.0,0,Medium,5,3,Very High,7,0.0,8.0
621,Senior Citizen,No,Travel_Rarely,Low,Research & Development,Medium,3,Life Sciences,1,Female,Low,3,5.0,Manager,1,Married,Low,5,No,11.0,3.0,4.0,0,Very High,5,1,Very High,8,11.0,10.0
622,Elderly,No,Travel_Rarely,Medium,Research & Development,Medium,3,Medical,4,Male,Very High,2,2.0,Manufacturing Director,2,Single,Medium,6,Yes,15.0,3.0,4.0,0,Medium,3,3,Medium,4,1.0,2.0
623,Adult,No,Travel_Rarely,Medium,Sales,Very High,3,Marketing,4,Female,Very High,2,2.0,Sales Executive,3,Married,Medium,1,No,21.0,4.0,4.0,2,Medium,2,3,High,7,1.0,7.0
624,Adult,Yes,Travel_Rarely,Medium,Sales,Very High,3,Life Sciences,2,Female,High,1,2.0,Sales Executive,3,Married,Very High,3,Yes,11.0,3.0,3.0,1,Low,2,3,Low,2,2.0,2.0
625,Elderly,No,Travel_Rarely,Very High,Research & Development,Medium,4,Life Sciences,4,Male,Low,3,2.0,Healthcare Representative,3,Married,High,0,Yes,16.0,3.0,2.0,0,Low,2,3,Low,2,1.0,2.0
626,Adult,No,Non-Travel,High,Sales,Very High,4,Marketing,2,Male,High,3,2.0,Sales Executive,3,Single,Medium,0,No,20.0,4.0,3.0,0,Medium,2,3,High,5,8.0,7.0
627,Elderly,No,Travel_Rarely,Medium,Research & Development,Very High,4,Medical,3,Female,Very High,3,2.0,Manufacturing Director,1,Married,Low,1,No,14.0,3.0,3.0,0,Very High,2,2,Very High,11,5.0,11.0
628,Elderly,No,Travel_Rarely,Very High,Research & Development,Low,3,Technical Degree,3,Female,Low,3,1.0,Research Scientist,1,Married,Medium,2,No,16.0,3.0,2.0,1,Medium,2,3,Medium,2,0.0,2.0
629,Adult,No,Travel_Rarely,Low,Research & Development,Low,4,Medical,3,Female,Very High,2,1.0,Research Scientist,1,Single,Low,1,No,11.0,3.0,3.0,0,Low,3,3,High,5,1.0,3.0
630,Adult,No,Travel_Rarely,Medium,Research & Development,Medium,4,Technical Degree,3,Male,Very High,3,1.0,Research Scientist,4,Married,Medium,0,Yes,12.0,3.0,3.0,1,Low,4,3,Medium,2,0.0,3.0
631,Adult,No,Travel_Rarely,Low,Research & Development,Low,4,Life Sciences,3,Female,Medium,3,2.0,Manufacturing Director,2,Single,Low,9,Yes,11.0,3.0,4.0,0,Very High,2,3,Very High,14,5.0,12.0
632,Elderly,No,Travel_Rarely,High,Research & Development,Low,2,Medical,4,Male,High,3,4.0,Research Director,4,Divorced,Low,9,No,22.0,4.0,3.0,1,Very High,1,2,Medium,4,1.0,3.0
633,Elderly,No,Non-Travel,Very High,Research & Development,High,4,Technical Degree,3,Male,High,3,2.0,Research Scientist,2,Married,Low,8,No,18.0,3.0,3.0,1,Very High,4,4,High,7,1.0,7.0
634,Adult,No,Travel_Rarely,Low,Research & Development,Low,3,Life Sciences,4,Male,Low,3,1.0,Research Scientist,4,Single,Low,5,Yes,11.0,3.0,3.0,0,Low,3,3,Low,2,1.0,2.0
635,Adult,No,Non-Travel,Very High,Research & Development,High,5,Life Sciences,1,Male,Very High,1,1.0,Laboratory Technician,3,Married,Low,1,No,19.0,3.0,4.0,3,Low,4,3,Low,2,1.0,2.0
636,Elderly,No,Travel_Rarely,Very High,Sales,Medium,3,Technical Degree,1,Female,Low,4,4.0,Sales Executive,1,Divorced,Low,2,No,12.0,3.0,4.0,1,Very High,5,3,Very High,17,2.0,8.0
637,Elderly,No,Travel_Rarely,Very High,Research & Development,Medium,4,Medical,2,Male,Low,2,2.0,Manufacturing Director,3,Married,Medium,2,No,17.0,3.0,3.0,0,Medium,2,3,Low,0,0.0,0.0
638,Elderly,No,Travel_Rarely,Low,Human Resources,High,4,Human Resources,2,Male,High,2,5.0,Manager,4,Divorced,Medium,3,No,15.0,3.0,2.0,3,Very High,2,2,Very High,6,12.0,6.0
639,Senior Citizen,No,Travel_Rarely,Very High,Research & Development,Medium,3,Life Sciences,4,Male,Medium,1,3.0,Manufacturing Director,4,Single,Very High,4,No,11.0,3.0,1.0,0,Very High,3,2,High,4,0.0,2.0
640,Adult,No,Travel_Frequently,Very High,Sales,Medium,1,Medical,4,Female,High,4,2.0,Sales Executive,4,Divorced,High,1,Yes,20.0,4.0,2.0,2,Low,3,3,High,5,0.0,4.0
641,Elderly,Yes,Travel_Rarely,Low,Sales,Low,1,Marketing,1,Female,Medium,1,5.0,Manager,4,Married,Very High,1,No,15.0,3.0,4.0,1,Very High,3,3,Very High,14,6.0,9.0
642,Adult,No,Travel_Rarely,Medium,Research & Development,Medium,3,Technical Degree,3,Male,Low,3,2.0,Research Scientist,2,Single,Very High,4,No,12.0,3.0,4.0,0,Medium,2,3,High,0,7.0,7.0
643,Adult,No,Travel_Rarely,Very High,Research & Development,Very High,2,Technical Degree,1,Male,High,3,2.0,Research Scientist,4,Divorced,Very High,1,No,17.0,3.0,1.0,2,Medium,3,3,High,8,4.0,7.0
644,Adult,No,Travel_Rarely,Medium,Research & Development,Medium,3,Technical Degree,4,Female,Very High,2,1.0,Research Scientist,1,Divorced,Medium,1,No,13.0,3.0,3.0,1,Low,2,3,Low,0,0.0,0.0
645,Adult,No,Travel_Rarely,Medium,Sales,Medium,3,Marketing,4,Male,High,3,2.0,Sales Executive,4,Divorced,Low,4,No,12.0,3.0,4.0,3,High,3,3,High,7,1.0,7.0
646,Young Adult,Yes,Travel_Frequently,Medium,Sales,Medium,2,Medical,2,Female,High,3,1.0,Sales Representative,4,Single,High,1,Yes,12.0,3.0,3.0,0,Low,2,4,Low,0,0.0,0.0
647,Adult,Yes,Travel_Rarely,Medium,Research & Development,Very High,3,Other,1,Male,Very High,3,2.0,Laboratory Technician,3,Divorced,Low,7,No,14.0,3.0,2.0,1,Medium,3,2,Low,0,0.0,0.0
648,Adult,No,Travel_Rarely,High,Research & Development,Medium,2,Life Sciences,1,Female,Low,3,1.0,Laboratory Technician,4,Divorced,Low,5,No,22.0,4.0,1.0,1,Medium,2,3,Low,0,0.0,0.0
649,Adult,No,Travel_Rarely,Very High,Research & Development,Very High,4,Technical Degree,1,Male,High,3,3.0,Healthcare Representative,4,Married,Very High,4,No,20.0,4.0,4.0,1,High,6,3,Very High,10,11.0,1.0
650,Adult,No,Travel_Rarely,High,Human Resources,Medium,2,Human Resources,3,Male,Very High,3,1.0,Human Resources,4,Married,Low,0,No,19.0,3.0,3.0,1,Low,1,1,Low,2,0.0,2.0
651,Elderly,No,Travel_Rarely,Medium,Human Resources,Low,3,Life Sciences,3,Female,Low,3,1.0,Human Resources,4,Divorced,Low,4,Yes,18.0,3.0,1.0,3,Medium,2,3,Low,2,2.0,2.0
652,Adult,No,Travel_Rarely,Very High,Sales,High,3,Medical,3,Female,Very High,4,1.0,Sales Representative,4,Married,Low,8,No,14.0,3.0,2.0,1,Low,4,3,Low,0,0.0,0.0
653,Young Adult,No,Travel_Rarely,High,Research & Development,Low,1,Technical Degree,4,Female,High,2,1.0,Research Scientist,2,Single,Very High,1,Yes,11.0,3.0,3.0,0,Low,6,4,Low,2,2.0,2.0
654,Adult,No,Travel_Frequently,Low,Research & Development,High,4,Life Sciences,3,Male,Low,4,2.0,Manufacturing Director,4,Divorced,High,1,No,13.0,3.0,1.0,1,Medium,3,3,High,7,7.0,2.0
655,Adult,Yes,Travel_Frequently,Very High,Sales,Low,3,Technical Degree,1,Male,Very High,3,1.0,Sales Representative,3,Married,High,3,No,15.0,3.0,4.0,1,Low,3,4,Low,2,1.0,2.0
656,Elderly,No,Travel_Rarely,Medium,Sales,High,3,Medical,3,Female,High,3,2.0,Sales Executive,3,Married,Very High,3,Yes,17.0,3.0,3.0,1,High,4,2,Medium,4,1.0,2.0
657,Elderly,No,Travel_Rarely,Low,Research & Development,Very High,3,Medical,4,Male,Medium,3,3.0,Manufacturing Director,1,Married,Low,1,Yes,21.0,4.0,4.0,1,Medium,5,2,Very High,9,5.0,8.0
658,Elderly,No,Travel_Frequently,Very High,Research & Development,Very High,4,Medical,3,Male,High,4,2.0,Manufacturing Director,3,Divorced,Low,1,Yes,19.0,3.0,3.0,0,Very High,3,4,Very High,10,2.0,7.0
659,Adult,No,Travel_Rarely,High,Sales,High,2,Life Sciences,3,Female,Very High,3,2.0,Sales Executive,1,Married,Medium,5,No,17.0,3.0,2.0,1,Low,1,3,Low,2,1.0,2.0
660,Adult,No,Travel_Frequently,Very High,Research & Development,Low,2,Life Sciences,4,Female,Low,3,2.0,Research Scientist,3,Single,Low,4,Yes,14.0,3.0,4.0,0,Medium,2,3,High,7,0.0,7.0
661,Elderly,No,Travel_Rarely,High,Sales,High,1,Life Sciences,3,Male,Very High,3,3.0,Sales Executive,3,Divorced,Very High,3,Yes,13.0,3.0,3.0,1,High,2,3,High,7,0.0,7.0
662,Young Adult,Yes,Travel_Rarely,Very High,Research & Development,High,1,Medical,4,Male,Low,3,1.0,Research Scientist,3,Single,Very High,1,Yes,11.0,3.0,4.0,0,Low,5,3,Low,0,1.0,1.0
663,Adult,No,Travel_Frequently,Low,Sales,Medium,3,Medical,4,Male,Medium,3,2.0,Sales Executive,1,Married,High,0,No,14.0,3.0,1.0,2,Low,2,3,Medium,3,0.0,3.0
664,Adult,No,Travel_Rarely,Medium,Research & Development,High,3,Medical,2,Female,Very High,4,1.0,Research Scientist,3,Married,Very High,7,No,17.0,3.0,1.0,0,Low,0,3,Low,2,0.0,2.0
665,Adult,No,Travel_Rarely,Low,Research & Development,Low,5,Medical,4,Male,Very High,3,1.0,Research Scientist,3,Married,High,6,Yes,13.0,3.0,2.0,1,Low,0,1,Low,0,0.0,1.0
666,Adult,No,Travel_Rarely,High,Research & Development,Low,1,Other,4,Male,Medium,3,1.0,Laboratory Technician,3,Divorced,Low,6,Yes,19.0,3.0,3.0,1,Medium,2,2,Low,2,0.0,2.0
667,Elderly,No,Travel_Rarely,Very High,Research & Development,Low,2,Other,4,Female,Medium,2,2.0,Manufacturing Director,4,Divorced,Low,1,No,19.0,3.0,1.0,2,Medium,3,3,Very High,7,3.0,9.0
668,Elderly,Yes,Travel_Frequently,High,Research & Development,Very High,3,Life Sciences,4,Male,Low,3,1.0,Laboratory Technician,3,Divorced,High,3,Yes,22.0,4.0,4.0,1,Very High,0,1,Low,0,0.0,0.0
669,Elderly,No,Travel_Rarely,Medium,Human Resources,Very High,4,Medical,2,Male,Low,3,1.0,Human Resources,2,Single,Medium,1,No,16.0,3.0,1.0,0,Low,3,3,High,3,0.0,4.0
670,Adult,No,Non-Travel,High,Sales,Very High,3,Other,3,Male,Medium,1,3.0,Sales Executive,1,Divorced,Medium,3,No,15.0,3.0,3.0,1,Very High,2,3,Low,0,0.0,1.0
671,Elderly,No,Travel_Rarely,High,Research & Development,Very High,3,Technical Degree,4,Male,Very High,3,1.0,Research Scientist,4,Married,Low,4,No,20.0,4.0,4.0,1,Medium,3,3,Medium,4,0.0,3.0
672,Adult,Yes,Travel_Rarely,Low,Sales,Medium,3,Marketing,4,Female,Low,3,1.0,Sales Representative,3,Single,Medium,1,Yes,13.0,3.0,2.0,0,Low,2,3,Low,0,0.0,0.0
673,Elderly,No,Travel_Rarely,Medium,Sales,Low,3,Other,4,Male,High,3,2.0,Sales Executive,2,Married,High,0,No,19.0,3.0,2.0,1,Medium,3,4,High,7,3.0,7.0
674,Elderly,No,Non-Travel,Medium,Research & Development,Very High,4,Medical,4,Male,Low,3,1.0,Research Scientist,4,Married,Very High,0,No,18.0,3.0,1.0,1,Low,3,3,Medium,3,1.0,2.0
675,Senior Citizen,No,Travel_Rarely,Low,Sales,Very High,3,Marketing,1,Male,Medium,2,4.0,Manager,4,Divorced,Very High,3,No,12.0,3.0,3.0,1,Very High,3,2,Low,0,0.0,0.0
676,Elderly,No,Travel_Rarely,Low,Research & Development,Medium,3,Medical,4,Female,Very High,3,4.0,Healthcare Representative,2,Single,Low,3,No,18.0,3.0,3.0,0,Very High,6,3,High,7,1.0,0.0
677,Adult,No,Travel_Rarely,High,Research & Development,Low,3,Medical,3,Male,Medium,4,3.0,Healthcare Representative,4,Divorced,Medium,0,No,17.0,3.0,1.0,3,Very High,5,2,Very High,10,3.0,7.0
678,Adult,No,Travel_Frequently,Very High,Research & Development,Medium,4,Life Sciences,1,Male,High,4,2.0,Laboratory Technician,1,Married,High,3,Yes,13.0,3.0,4.0,1,Medium,3,3,Low,2,0.0,2.0
679,Elderly,Yes,Travel_Rarely,High,Research & Development,Medium,3,Life Sciences,1,Male,Very High,3,1.0,Laboratory Technician,1,Married,High,4,No,12.0,3.0,3.0,0,Medium,4,4,Low,2,1.0,2.0
680,Adult,No,Travel_Rarely,Medium,Sales,Medium,4,Marketing,3,Male,High,2,3.0,Sales Executive,4,Married,Medium,7,No,11.0,3.0,1.0,1,High,2,2,Very High,11,2.0,11.0
681,Adult,No,Travel_Rarely,Low,Research & Development,Very High,3,Medical,2,Male,High,4,1.0,Laboratory Technician,2,Married,Medium,1,No,18.0,3.0,4.0,3,High,6,3,Very High,11,2.0,13.0
682,Adult,No,Travel_Rarely,High,Research & Development,Low,2,Medical,3,Female,Very High,2,1.0,Research Scientist,1,Married,High,2,No,14.0,3.0,1.0,1,Very High,2,2,Low,1,0.0,2.0
683,Adult,No,Travel_Rarely,Medium,Sales,Low,4,Marketing,2,Female,High,1,2.0,Sales Representative,4,Married,Low,2,Yes,20.0,4.0,1.0,2,Very High,4,2,Medium,2,0.0,3.0
684,Adult,No,Travel_Rarely,High,Sales,High,3,Marketing,4,Male,Low,3,2.0,Sales Executive,4,Single,Low,1,No,14.0,3.0,1.0,0,Medium,5,3,High,7,0.0,7.0
685,Adult,No,Travel_Rarely,Medium,Sales,Medium,3,Medical,1,Female,Very High,2,3.0,Sales Executive,4,Married,Medium,0,No,19.0,3.0,3.0,2,Medium,2,3,High,7,3.0,4.0
686,Elderly,No,Travel_Rarely,Very High,Research & Development,Very High,3,Medical,1,Male,Very High,3,3.0,Healthcare Representative,3,Single,Medium,2,No,23.0,4.0,2.0,0,Very High,3,3,Very High,14,12.0,11.0
687,Young Adult,Yes,Travel_Rarely,Low,Sales,Medium,1,Marketing,2,Male,Low,3,1.0,Sales Representative,2,Single,Low,1,No,13.0,3.0,2.0,0,Low,3,3,Low,0,1.0,0.0
688,Elderly,No,Travel_Rarely,Low,Sales,Very High,3,Life Sciences,4,Female,Medium,3,2.0,Sales Executive,3,Single,Very High,8,No,15.0,3.0,3.0,0,Medium,3,3,Medium,3,0.0,1.0
689,Adult,No,Travel_Frequently,Medium,Research & Development,Low,2,Life Sciences,1,Female,Very High,3,3.0,Research Director,4,Single,High,1,Yes,12.0,3.0,3.0,0,High,1,3,Very High,14,8.0,12.0
690,Senior Citizen,No,Travel_Rarely,Low,Research & Development,Medium,3,Life Sciences,3,Male,High,2,1.0,Research Scientist,4,Married,Medium,3,No,17.0,3.0,1.0,1,Medium,6,3,Low,0,0.0,0.0
691,Elderly,Yes,Travel_Rarely,Medium,Research & Development,Low,3,Medical,4,Male,High,3,5.0,Manager,1,Married,Very High,5,Yes,13.0,3.0,4.0,1,Very High,2,3,Medium,2,1.0,4.0
692,Elderly,No,Travel_Frequently,High,Sales,High,3,Marketing,3,Female,High,3,3.0,Sales Executive,4,Single,Low,4,No,11.0,3.0,4.0,0,Very High,3,3,Low,2,2.0,1.0
693,Adult,No,Travel_Rarely,High,Sales,High,1,Medical,4,Male,High,3,1.0,Sales Representative,2,Married,Very High,1,No,22.0,4.0,2.0,0,Low,5,3,Low,0,0.0,0.0
694,Adult,No,Non-Travel,Medium,Research & Development,Medium,4,Life Sciences,3,Male,Low,2,1.0,Research Scientist,4,Married,Very High,3,No,17.0,3.0,4.0,3,Low,2,3,Low,0,0.0,0.0
695,Elderly,No,Travel_Frequently,Medium,Research & Development,High,4,Life Sciences,3,Female,Low,3,5.0,Research Director,1,Single,Very High,9,Yes,11.0,3.0,4.0,0,Very High,4,3,Low,2,1.0,2.0
696,Elderly,No,Travel_Rarely,Low,Research & Development,High,3,Medical,3,Female,High,3,2.0,Manufacturing Director,1,Single,Very High,6,Yes,19.0,3.0,4.0,0,Medium,3,3,Medium,2,1.0,4.0
697,Adult,No,Travel_Rarely,Very High,Research & Development,Low,3,Life Sciences,1,Male,High,2,1.0,Research Scientist,3,Divorced,Medium,1,No,14.0,3.0,4.0,1,Low,2,1,Low,0,0.0,0.0
698,Elderly,No,Travel_Rarely,High,Research & Development,Very High,4,Other,3,Female,High,3,1.0,Research Scientist,1,Married,High,8,No,12.0,3.0,4.0,1,Medium,3,2,High,2,7.0,6.0
699,Young Adult,Yes,Non-Travel,Medium,Research & Development,High,3,Medical,1,Female,Very High,2,1.0,Research Scientist,2,Single,Low,1,Yes,25.0,4.0,2.0,0,Low,2,4,Low,1,0.0,0.0
700,Elderly,No,Non-Travel,Low,Research & Development,Very High,2,Life Sciences,4,Male,Low,2,2.0,Research Scientist,3,Single,High,1,No,12.0,3.0,4.0,0,Very High,2,3,Very High,9,3.0,7.0
701,Adult,No,Travel_Rarely,Low,Research & Development,Medium,2,Life Sciences,1,Male,High,4,1.0,Research Scientist,2,Divorced,High,0,Yes,12.0,3.0,4.0,2,Medium,5,2,High,2,0.0,5.0
702,Adult,Yes,Travel_Rarely,Low,Research & Development,Low,3,Life Sciences,1,Female,High,3,1.0,Laboratory Technician,1,Divorced,Very High,1,Yes,12.0,3.0,4.0,1,Low,2,3,Low,0,0.0,0.0
703,Adult,No,Travel_Rarely,Very High,Sales,Very High,3,Marketing,3,Male,Very High,3,3.0,Sales Executive,2,Married,Low,0,No,15.0,3.0,3.0,2,High,3,2,Very High,9,6.0,9.0
704,Elderly,No,Travel_Rarely,Medium,Research & Development,High,4,Life Sciences,3,Male,Very High,3,1.0,Laboratory Technician,1,Divorced,High,1,No,20.0,4.0,2.0,2,Low,2,3,Medium,3,0.0,4.0
705,Adult,No,Travel_Frequently,Medium,Sales,Very High,3,Life Sciences,3,Male,Very High,3,2.0,Sales Executive,4,Divorced,High,2,No,18.0,3.0,4.0,1,Medium,6,3,Low,1,2.0,2.0
706,Adult,Yes,Travel_Frequently,Medium,Human Resources,High,3,Human Resources,3,Female,High,2,1.0,Human Resources,4,Divorced,Medium,6,No,11.0,3.0,3.0,1,Low,0,2,Medium,2,1.0,2.0
707,Elderly,No,Non-Travel,Low,Research & Development,High,3,Life Sciences,1,Male,Medium,3,1.0,Research Scientist,3,Single,Very High,4,No,13.0,3.0,3.0,0,Medium,2,2,Low,2,1.0,2.0
708,Adult,No,Travel_Rarely,Medium,Research & Development,High,1,Medical,2,Male,High,2,2.0,Manufacturing Director,4,Married,High,1,Yes,15.0,3.0,3.0,1,Medium,2,2,Very High,7,1.0,2.0
709,Senior Citizen,Yes,Travel_Rarely,Low,Research & Development,Medium,2,Technical Degree,4,Male,High,3,1.0,Laboratory Technician,3,Married,Low,8,No,11.0,3.0,4.0,1,High,4,1,Very High,9,9.0,8.0
710,Senior Citizen,No,Travel_Rarely,Very High,Research & Development,Very High,4,Medical,4,Male,High,3,3.0,Manufacturing Director,4,Single,High,6,No,12.0,3.0,4.0,0,Very High,6,2,High,7,5.0,4.0
711,Adult,No,Travel_Rarely,Very High,Sales,High,4,Technical Degree,2,Female,High,2,2.0,Sales Executive,3,Married,Low,1,Yes,13.0,3.0,1.0,1,Medium,4,3,Very High,9,1.0,7.0
712,Elderly,No,Travel_Frequently,Low,Research & Development,Very High,5,Medical,3,Male,Very High,1,4.0,Research Director,4,Single,Very High,1,Yes,13.0,3.0,4.0,0,Very High,2,3,Very High,6,13.0,9.0
713,Elderly,No,Travel_Rarely,Very High,Research & Development,Very High,4,Medical,4,Male,Medium,3,1.0,Research Scientist,3,Married,Low,4,No,17.0,3.0,1.0,2,High,2,2,Low,0,0.0,0.0
714,Elderly,No,Travel_Rarely,Very High,Sales,Medium,2,Life Sciences,3,Female,Low,3,2.0,Sales Executive,1,Divorced,Low,4,Yes,11.0,3.0,1.0,1,Medium,3,4,Medium,4,0.0,3.0
715,Adult,Yes,Travel_Rarely,Low,Sales,High,3,Marketing,2,Female,Medium,1,1.0,Sales Representative,2,Single,High,1,No,13.0,3.0,3.0,0,Low,3,3,Low,2,2.0,2.0
716,Elderly,No,Travel_Rarely,Very High,Sales,Low,3,Marketing,3,Female,High,3,4.0,Manager,1,Married,Very High,8,No,23.0,4.0,1.0,0,Very High,2,3,Very High,15,15.0,9.0
717,Adult,No,Travel_Frequently,Low,Research & Development,Low,3,Life Sciences,4,Male,Medium,2,1.0,Laboratory Technician,4,Married,Medium,1,Yes,12.0,3.0,2.0,1,Low,2,3,Low,2,2.0,2.0
718,Adult,Yes,Travel_Rarely,Low,Sales,Very High,3,Life Sciences,1,Female,High,3,3.0,Sales Executive,1,Single,Medium,2,Yes,20.0,4.0,3.0,0,High,2,2,Low,0,0.0,0.0
719,Adult,No,Travel_Rarely,High,Research & Development,Very High,3,Life Sciences,1,Female,High,2,3.0,Manufacturing Director,3,Married,Very High,1,No,13.0,3.0,4.0,2,Very High,2,3,Very High,15,14.0,12.0
720,Elderly,No,Travel_Rarely,Very High,Research & Development,Low,3,Medical,3,Male,High,2,1.0,Laboratory Technician,2,Married,Very High,4,No,14.0,3.0,2.0,1,Low,3,3,Low,0,0.0,0.0
721,Elderly,Yes,Travel_Frequently,Low,Sales,Very High,4,Life Sciences,1,Female,Very High,3,2.0,Sales Executive,1,Married,Low,2,No,14.0,3.0,4.0,2,Low,4,3,Low,1,0.0,0.0
722,Adult,No,Travel_Rarely,Low,Research & Development,Low,3,Life Sciences,4,Female,Very High,3,1.0,Research Scientist,3,Married,Medium,4,No,13.0,3.0,2.0,1,Low,3,3,Low,2,2.0,2.0
723,Adult,No,Travel_Frequently,Medium,Research & Development,Medium,3,Technical Degree,3,Male,Medium,3,1.0,Research Scientist,2,Married,Medium,1,No,12.0,3.0,3.0,0,High,2,2,Very High,10,0.0,7.0
